,forecast_return,lower_return,upper_return,forecast_price,lower_price,upper_price
2025-11-24,-0.00036152276859267597,-0.04067982064996331,0.039956775112777954,61.877625785261834,59.432449140677505,64.42340216803073
2025-11-25,-0.00026332964612684845,-0.040667466453654655,0.04014080716140096,61.86133371714703,57.06396847849396,67.06201323356035
2025-11-26,-0.00030875327035305623,-0.04073123540837055,0.04011372886766444,61.842236776326644,54.786381877079926,69.80680450992192
2025-11-27,-0.0002877405396644911,-0.04071414738540395,0.040138666306074974,61.82444481759922,52.60059912001537,72.66574983838804
2025-11-28,-0.0002974609188396829,-0.04072470757865799,0.04012978574097862,61.80605719637196,50.50148805154919,75.64111184727793
2025-12-01,-0.000292964322337786,-0.04072039069499248,0.040134462050316906,61.7879528787981,48.48635467833356,78.73867083389055
2025-12-02,-0.0002950444243313867,-0.040722509254335716,0.04013242040567295,61.769725376904,46.55153145232569,81.96290979268132
2025-12-03,-0.00029408218004241027,-0.0407215552396808,0.04013339087959598,61.751562672199334,44.693958997890554,85.31925964845804
2025-12-04,-0.00029452730921132424,-0.0407220021299411,0.04013294751151845,61.733377828703865,42.910491146041515,88.8130113722334
2025-12-05,-0.00029432139478887667,-0.04072179659238148,0.04013315380280373,61.71521104840349,41.19819926759827,92.44984835404006
2025-12-08,-0.00029441664972234996,-0.04072189192796131,0.040133058628516606,61.697043737240385,39.55423057974102,96.23560236473386
2025-12-09,-0.00029437258528896475,-0.040721847880785755,0.04013310271020783,61.678884491893896,37.97586432131386,100.17638466306731
2025-12-10,-0.0002943929692650882,-0.04072186826845495,0.04013308232992477,61.66072933445385,36.46048021692734,104.27853718425845
2025-12-11,-0.0002943835397444821,-0.04072185883972464,0.040133091760235676,61.64258010223782,35.00556613894067,108.54867099074993
2025-12-12,-0.00029438790179133313,-0.04072186320194061,0.040133087398357935,61.62443594326201,33.60870860920338,112.99366332347799
2025-12-15,-0.0002943858839313034,-0.04072186118411676,0.04013308941625415,61.60629724923381,32.26759116462462,117.62067522789958
2025-12-16,-0.00029438681738278586,-0.04072186211757599,0.040133088482810414,61.58816383670564,30.97998946351437,122.43715993654848
2025-12-17,-0.00029438638557301844,-0.04072186168576788,0.04013308891462184,61.570035788215925,29.743768063669116,127.45087639358623
2025-12-18,-0.0002943865853259555,-0.04072186188552117,0.04013308871486926,61.55191306329627,28.556876673264803,132.66990102242303
2025-12-19,-0.0002943864929212929,-0.040721861793116584,0.040133088807273995,61.53379567836451,27.41734684259817,138.10264108793314
2025-12-22,-0.0002943865356672059,-0.040721861835862516,0.040133088764528105,61.51568362353165,26.32328865848812,143.75784807002853
2025-12-23,-0.0002943865158931704,-0.04072186181608849,0.04013308878430215,61.49757690107517,25.272887628033075,149.64463184288664
2025-12-24,-0.0002943865250405357,-0.04072186182523585,0.040133088775154785,61.47947550764673,24.26440166120298,155.77247531056338
2025-12-25,-0.0002943865208090124,-0.04072186182100433,0.0401330887793863,61.461379442500395,23.29615818516988,162.15124970175262
2025-12-26,-0.0002943865227664929,-0.04072186182296181,0.04013308877742883,61.44328870368738,22.366551368754777,168.79123046204592
2025-12-29,-0.00029438652186097267,-0.04072186182205629,0.040133088778334346,61.425203289815855,21.47403945986518,175.703113810842
2025-12-30,-0.0002943865222798616,-0.040721861822475176,0.04013308877791546,61.4071231992371,20.617142228186363,182.89803396956984
2025-12-31,-0.0002943865220860858,-0.0407218618222814,0.040133088778109234,61.38904843042186,19.794438510360106,190.3875810986124
2026-01-01,-0.00029438652217572545,-0.040721861822371044,0.04013308877801959,61.37097898178632,19.004563852924413,198.1838199671858
2026-01-02,-0.0002943865221342586,-0.04072186182232958,0.04013308877806106,61.35291485177256,18.246208249396087,206.299309388483
