Danh mục,Total Return,Volatility (Năm),Sharpe Ratio,Max Drawdown
Q1,0.4956443546225995,0.19552936747089622,0.45402094803573323,-0.39616027150877126
Q2,0.39848415720536634,0.24969713839614296,0.3577469859135312,-0.46421069839865425
Q3,1.0638366073629775,0.29069177185549877,0.5798902595464723,-0.27920090579524864
Q4,2.140500963669301,0.3655842783129104,0.7279391023887479,-0.5589191406083291
MKT,,0.23041955254168758,0.7144945492071668,-0.31229528724624817
