date,actual,predicted
2025-10-13,60.6,60.88104537314216
2025-10-14,60.0,60.86209664575688
2025-10-15,59.0,60.84315381600801
2025-10-16,58.7,60.82421688205996
2025-10-17,58.6,60.805285842077694
2025-10-20,57.0,60.78636069422678
2025-10-21,56.0,60.76744143667332
2025-10-22,59.0,60.74852806758403
2025-10-23,59.8,60.72962058512616
2025-10-24,59.6,60.71071898746756
2025-10-27,59.3,60.69182327277662
2025-10-28,60.0,60.6729334392223
2025-10-29,60.2,60.65404948497417
2025-10-30,59.7,60.63517140820234
2025-10-31,61.6,60.61629920707748
2025-11-03,61.5,60.59743287977086
2025-11-04,60.5,60.578572424454286
2025-11-05,63.0,60.55971783930016
2025-11-06,62.1,60.540869122481446
2025-11-07,62.9,60.52202627217166
2025-11-10,61.2,60.5031892865449
2025-11-11,61.1,60.484358163775845
2025-11-12,61.9,60.46553290203971
2025-11-13,62.9,60.446713499512306
2025-11-14,62.8,60.42789995437001
2025-11-17,63.0,60.40909226478974
2025-11-18,62.4,60.39029042894902
2025-11-19,62.2,60.37149444502592
2025-11-20,62.1,60.352704311199055
2025-11-21,61.9,60.33392002564765
